,Unnamed: 0,Unnamed: 0.1,title,address,categoryName,lat,lon,totalScore,reviewsCount,price,price_cont,our_rating,star_nr,categories_tuple,geometry,index_right,neighbourhood,neighbourhood_group,final_categories
0,0,0,OVS Kids,"Oderstraße 35 a, 14513 Teltow, Germany",Children's clothing store,52.4031578,13.2474102,5.0,1,,,5.0,1,"(""Children's clothing store"", 'Childrens store')",POINT (13.241702331453837 52.40656115644417),56,Teltower Damm,Steglitz - Zehlendorf,"[""Children's clothing store""]"
1,1,1,H&M,"Müllerstraße 36, 13353 Berlin, Germany",Clothing store,52.549197,13.35471,3.8,442,€,1.0,3.16,250,"('Clothing store', ""Children's clothing store"", ""Men's clothing store"")",POINT (13.34900380325847 52.55262061467899),21,Parkviertel,Mitte,"[""Men's clothing store"", ""Children's clothing store"", 'General clothing store']"
2,2,251,KiK Kleinmachnow,"Adolf-Grimme-Ring 8, 14532 Kleinmachnow, Germany",Clothing store,52.4032941,13.2195874,4.2,67,,,4.39,28,"('Clothing store', 'Baby clothing store', ""Children's clothing store"", 'Home goods store', ""Men's clothing store"", 'Plus size clothing store', ""Women's clothing store"")",POINT (13.213874192394053 52.4066961264629),60,Zehlendorf  Südwest,Steglitz - Zehlendorf,"[""Men's clothing store"", ""Women's clothing store"", 'Baby clothing store', 'Plus size clothing store', ""Children's clothing store"", 'Home supplies store', 'General clothing store']"
3,3,279,SUMO Curated Designer & Vintage Online Store,"Prinzessinnenstraße 7, 10969 Berlin, Germany",Vintage clothing store,52.5022199,13.4137754,5.0,1,,,5.0,6,"('Vintage clothing store', 'Clothing store')",POINT (13.408086626640385 52.50564150513361),22,Südliche Friedrichstadt,Friedrichshain-Kreuzberg,"['Vintage clothing store', 'General clothing store']"
4,4,285,Primark,"Alexanderpl. 5-7, 10178 Berlin, Germany",Clothing store,52.5225903,13.4134244,4.0,5492,€,1.0,3.48,414,"('Clothing store',)",POINT (13.407732927697692 52.52601399312872),17,Alexanderplatz,Mitte,['General clothing store']
5,5,377,Primark,"Alexanderpl. 5-7, 10178 Berlin, Germany",Clothing store,52.5225903,13.4134244,4.0,5485,€,1.0,3.48,414,"('Clothing store',)",POINT (13.407732927697692 52.52601399312872),17,Alexanderplatz,Mitte,['General clothing store']
6,6,469,Primark,"Alexanderpl. 5-7, 10178 Berlin, Germany",Clothing store,52.5225903,13.4134244,4.0,5486,€,1.0,3.48,414,"('Clothing store',)",POINT (13.407732927697692 52.52601399312872),17,Alexanderplatz,Mitte,['General clothing store']
7,7,699,"Hallesches Haus - General Store, Lunchroom & Event Space","Tempelhofer Ufer 1, 10961 Berlin, Germany",Brunch restaurant,52.4972842,13.3904317,4.3,1169,,,4.0,220,"('Brunch restaurant', 'Breakfast restaurant', 'Event venue', 'General store', 'Lunch restaurant', 'Restaurant')",POINT (13.384739082632638 52.50070417240047),22,Südliche Friedrichstadt,Friedrichshain-Kreuzberg,['Department store']
8,8,919,Aesop - Online Store,"Forster Str. 47, 10999 Berlin, Germany",Beauty supply store,52.4949313,13.4334153,3.7,3,,,3.67,24,"('Beauty supply store', 'Cosmetics store', 'Perfume store')",POINT (13.42773123811734 52.49835309582541),25,südliche Luisenstadt,Friedrichshain-Kreuzberg,['Beauty supplies store']
9,9,943,The Store X Berlin,"Torstraße 1, 10119 Berlin, Germany",Cultural center,52.5276141,13.415819,4.3,133,,,4.33,126,"('Clothing store', 'Art studio', 'Cafe', 'Cultural center', 'Music store')",POINT (13.410127338257208 52.53103842738011),40,Prenzlauer Berg Südwest,Pankow,['General clothing store']
10,10,1069,Meher Kakalia,"Mulackstraße 16, 10119 Berlin, Germany",Shoe store,52.5277565,13.4043187,5.0,5,,,5.0,25,"('Shoe store', 'Bag shop', 'Embroidery shop', 'Fashion accessories store', 'Fashion designer', 'Footwear wholesaler', 'Shopping mall', 'Vintage clothing store', 'Website designer')",POINT (13.398624810519433 52.53118028891759),18,Brunnenstr. Süd,Mitte,"['Fashion accessories store', 'Formal wear store', 'Vintage clothing store', 'Emboidery & Clothing alternation store', 'Bag store', 'Footwear store', 'Shopping mall', 'Wholesalers store']"
